Time(minute),10年一遇(mm/h),20年一遇(mm/h),30年一遇(mm/h),50年一遇(mm/h),100年一遇(mm/h)
1,5.982991409,6.87579012,7.398044956,8.056005819,8.94880453
2,6.143914493,7.060726597,7.597028396,8.272686274,9.189498378
3,6.311824066,7.253692106,7.804650718,8.498773929,9.440641969
4,6.48713745,7.455166243,8.021427947,8.734830702,9.702859495
5,6.670303833,7.665665226,8.247915508,8.981461416,9.976822809
6,6.861807245,7.885745313,8.484711912,9.239317812,10.26325588
7,7.062169865,8.116006604,8.73246284,9.509102995,10.56293973
8,7.271955704,8.357097271,8.991865697,9.791576397,10.87671796
9,7.491774701,8.609718274,9.263674682,10.08755929,11.20550287
10,7.722287311,8.874628621,9.548706456,10.39794097,11.55028228
11,7.964209624,9.152651257,9.847846471,10.72368564,11.91212728
12,8.218319106,9.444679668,10.16205608,11.06584015,12.29220071
13,8.485461052,9.751685282,10.49238049,11.42554267,12.6917669
14,8.766555831,10.07472581,10.83995776,11.80403246,13.11220244
15,9.06260707,10.41495464,11.20602888,12.20266089,13.55500847
16,9.374710883,10.77363146,11.59194921,12.62290387,14.02182445
17,9.704066335,11.15213425,11.99920142,13.06637592,14.51444384
18,10.05198731,11.55197297,12.42941012,13.53484615,15.03483181
19,10.41991599,11.974805,12.88435862,14.03025646,15.58514546
20,10.80943828,12.42245289,13.36600788,14.55474222,16.16775683
21,11.22230136,12.89692455,13.87651833,15.110656,16.78527919
22,11.66043387,13.40043642,14.41827475,15.70059468,17.44059723
23,12.12596908,13.93544009,14.99391495,16.32743067,18.13690169
24,12.62127158,14.50465302,15.6063628,16.99434786,18.87772931
25,13.14896817,15.11109397,16.25886634,17.7048832,19.667009
26,13.71198363,15.75812418,16.95504212,18.46297485,20.5091154
27,14.3135824,16.4494952,17.69892665,19.27301833,21.40893113
28,14.95741712,17.18940474,18.49503647,20.13993187,22.37191949
29,15.64758564,17.98256213,19.34843862,21.06923316,23.40420965
30,16.3886979,18.83426523,20.26483334,22.0671294,24.51269673
31,17.18595495,19.75049121,21.25065183,23.14062374,25.70516001
32,18.0452426,20.73800417,22.31317193,24.29764134,26.99040291
33,18.97324283,21.80448319,23.46065602,25.54717937,28.37841972
34,19.97756703,22.95867546,24.70251567,26.89948644,29.88059486
35,21.066916,24.21058012,26.04950952,28.36627805,31.50994217
36,22.25127313,25.57167033,27.51398217,29.96099669,33.2813939
37,23.54213885,27.05516265,29.11015404,31.69912751,35.21215131
38,24.95281669,28.67634579,30.85447514,33.59858351,37.3221126
39,26.4987645,30.45298425,32.76605926,35.68017843,39.63439818
40,28.1980282,32.40581683,34.86722043,37.96821083,42.17599946
41,30.07178125,34.55917655,37.1841399,40.49119047,44.97858577
42,32.14500022,36.94176705,39.74770152,43.28274789,48.07951473
43,34.44731723,39.58764225,42.59454579,46.38278231,51.52310733
44,37.01410442,42.53745261,45.76841079,49.83892174,55.36226992
45,39.88786547,45.84004432,49.32185287,53.70839675,59.66057559
46,43.12003799,49.55453065,53.31847528,58.06046728,64.49495995
47,46.7733516,53.75300194,57.83584402,62.97959782,69.95924816
48,50.92494684,58.52410983,62.96934432,68.56965689,76.16881988
49,55.67054922,63.97786428,68.83734202,74.95953744,83.26685249
50,61.13012778,70.25213641,75.58818032,82.3107759,91.43278453
51,67.4556743,77.52159867,83.40979903,90.8280269,100.8939513
52,74.84206428,86.01020643,92.54316417,100.7736873,111.9418294
53,83.54248002,96.00892253,103.3013389,112.4886631,124.9551057
54,93.89072843,107.9013655,116.0970796,126.4224203,140.4330574
55,106.3342209,122.2017108,131.4836163,143.1773914,159.0448812
56,121.48387,139.6120328,150.21635,163.5761606,181.7043235
57,140.1916164,161.1114015,173.3487164,188.7658532,209.6856382
58,163.6745976,188.0985788,202.3857212,220.3853257,244.8093069
59,193.7210832,222.628685,239.5385827,260.842456,289.7500578
60,233.0461896,267.8219938,288.1645769,313.7931064,348.5689106
61,233.0461896,267.8219938,288.1645769,313.7931064,348.5689106
62,193.7210832,222.628685,239.5385827,260.842456,289.7500578
63,163.6745976,188.0985788,202.3857212,220.3853257,244.8093069
64,140.1916164,161.1114015,173.3487164,188.7658532,209.6856382
65,121.48387,139.6120328,150.21635,163.5761606,181.7043235
66,106.3342209,122.2017108,131.4836163,143.1773914,159.0448812
67,93.89072843,107.9013655,116.0970796,126.4224203,140.4330574
68,83.54248002,96.00892253,103.3013389,112.4886631,124.9551057
69,74.84206428,86.01020643,92.54316417,100.7736873,111.9418294
70,67.4556743,77.52159867,83.40979903,90.8280269,100.8939513
71,61.13012778,70.25213641,75.58818032,82.3107759,91.43278453
72,55.67054922,63.97786428,68.83734202,74.95953744,83.26685249
73,50.92494684,58.52410983,62.96934432,68.56965689,76.16881988
74,46.7733516,53.75300194,57.83584402,62.97959782,69.95924816
75,43.12003799,49.55453065,53.31847528,58.06046728,64.49495995
76,39.88786547,45.84004432,49.32185287,53.70839675,59.66057559
77,37.01410442,42.53745261,45.76841079,49.83892174,55.36226992
78,34.44731723,39.58764225,42.59454579,46.38278231,51.52310733
79,32.14500022,36.94176705,39.74770152,43.28274789,48.07951473
80,30.07178125,34.55917655,37.1841399,40.49119047,44.97858577
81,28.1980282,32.40581683,34.86722043,37.96821083,42.17599946
82,26.4987645,30.45298425,32.76605926,35.68017843,39.63439818
83,24.95281669,28.67634579,30.85447514,33.59858351,37.3221126
84,23.54213885,27.05516265,29.11015404,31.69912751,35.21215131
85,22.25127313,25.57167033,27.51398217,29.96099669,33.2813939
86,21.066916,24.21058012,26.04950952,28.36627805,31.50994217
87,19.97756703,22.95867546,24.70251567,26.89948644,29.88059486
88,18.97324283,21.80448319,23.46065602,25.54717937,28.37841972
89,18.0452426,20.73800417,22.31317193,24.29764134,26.99040291
90,17.18595495,19.75049121,21.25065183,23.14062374,25.70516001
91,16.3886979,18.83426523,20.26483334,22.0671294,24.51269673
92,15.64758564,17.98256213,19.34843862,21.06923316,23.40420965
93,14.95741712,17.18940474,18.49503647,20.13993187,22.37191949
94,14.3135824,16.4494952,17.69892665,19.27301833,21.40893113
95,13.71198363,15.75812418,16.95504212,18.46297485,20.5091154
96,13.14896817,15.11109397,16.25886634,17.7048832,19.667009
97,12.62127158,14.50465302,15.6063628,16.99434786,18.87772931
98,12.12596908,13.93544009,14.99391495,16.32743067,18.13690169
99,11.66043387,13.40043642,14.41827475,15.70059468,17.44059723
100,11.22230136,12.89692455,13.87651833,15.110656,16.78527919
101,10.80943828,12.42245289,13.36600788,14.55474222,16.16775683
102,10.41991599,11.974805,12.88435862,14.03025646,15.58514546
103,10.05198731,11.55197297,12.42941012,13.53484615,15.03483181
104,9.704066335,11.15213425,11.99920142,13.06637592,14.51444384
105,9.374710883,10.77363146,11.59194921,12.62290387,14.02182445
106,9.06260707,10.41495464,11.20602888,12.20266089,13.55500847
107,8.766555831,10.07472581,10.83995776,11.80403246,13.11220244
108,8.485461052,9.751685282,10.49238049,11.42554267,12.6917669
109,8.218319106,9.444679668,10.16205608,11.06584015,12.29220071
110,7.964209624,9.152651257,9.847846471,10.72368564,11.91212728
111,7.722287311,8.874628621,9.548706456,10.39794097,11.55028228
112,7.491774701,8.609718274,9.263674682,10.08755929,11.20550287
113,7.271955704,8.357097271,8.991865697,9.791576397,10.87671796
114,7.062169865,8.116006604,8.73246284,9.509102995,10.56293973
115,6.861807245,7.885745313,8.484711912,9.239317812,10.26325588
116,6.670303833,7.665665226,8.247915508,8.981461416,9.976822809
117,6.48713745,7.455166243,8.021427947,8.734830702,9.702859495
118,6.311824066,7.253692106,7.804650718,8.498773929,9.440641969
119,6.143914493,7.060726597,7.597028396,8.272686274,9.189498378
120,5.982991409,6.87579012,7.398044956,8.056005819,8.94880453
